Comedy,1
Drama,2
Romance,3
Horror,4
Crime,5
Adventure,6
Action,7
Thriller,8
Musical,9
Music,9
Sci-Fi,10
War,11
Mystery,12
Fantasy,13
Animation,14
Biography,15
Family,16
Sport,17
History,18
