tt1833673	Dhoom:3	3.5	2	3	17	12/20/2013	7, 5, 8	5.5	21417255	4700000000
tt1986040	Ishkq in Paris	3.5	2	5	1	5/24/2013	1, 3	4.2	671339	21300000
tt2112124	Chennai Express	4	3	5	11	8/9/2013	7, 1, 3	5.9	3041471	3960000000
tt3415692	Mahabharat	4.5	2.5	5	5	12/25/2013	16, 7	5.6	137494	15000000
tt2275802	Satyagraha	4.5	3.5	3	5	8/30/2013	2	6	1462786	650000000
tt1029231	Krrish 3	4.5	3.5	3	9	11/1/2013	7, 3, 10	5.4	24606605	2910000000
tt0243356	Kaun Kitney Pani Mein	2	2	1	2	8/28/2014	2	5.5	738471	320000000
tt3469244	Phantom	3	3.5	5	5	8/28/2014	7, 2, 8	5.6	6769152	632400000
tt2767712	Badlapur Boys	2	2	5	2	12/12/2014	2	5.5	511823	500400000
tt4228746	Zid	2	2	5	1	11/28/2014	5, 8	4.4	327146	140000000
tt2392447	Ungli	3.5	2.5	5	1	11/28/2014	1, 2, 8	5.8	2869333	282000000
tt3501994	Hawaa Hawaai	3	2	5	1	5/9/2014	2, 11, 12	7.5	103319	110000000
tt3514330	Youngistaan	3.66667	2	5	6	3/28/2014	2	5.3	105821	62100000
tt3303416	Ya Rab	2	2	5	2	2/7/2014	2	6.4	329185	10000000
tt3001638	Mary Kom	3.875	2	5	1	9/5/2014	4, 2, 12	6.8	6314572	1040000000
tt3359290	Bobby Jasoos	3	2	5	1	7/4/2014	1, 2, 8	5.5	3166047	108500000
tt3382148	Yaariyan	3	2	5	1	1/10/2014	2, 3	2.7	3403332	400000000
tt3142232	Heropanti	2.5	2	5	2	5/23/2014	7, 3	5.6	327323	650000000
tt4168188	Chaar Sahibzaade	3.875	2	5	2	11/6/2014	16, 13	8.7	2145923	700000000
tt3619772	Hate Story 2	2.5	2	5	1	7/18/2014	2, 8	4.5	14476950	256000000
tt3322420	Queen	3.8	2	5	1	2/27/2014	6, 1, 2	8.4	3272757	780000000
tt3173910	Hasee Toh Phasee	2.5	3	5	2	2/7/2014	1, 3	6.9	2639617	620000000
tt3554418	Khoobsurat	3	2	5	2	9/19/2014	1, 3	6.4	5738253	394700000
tt3175038	Ek Villain	3.5	3	5	3	6/27/2014	7, 5, 2	6.4	4970375	1530000000
tt3495000	Mardaani	2.5	2	5	1	8/22/2014	7, 2, 8	7.4	4563876	360000000
tt2980794	Highway	2.5	4	5	3	2/21/2014	6, 2, 3	7.6	3246950	600000000
tt2905838	Bang Bang	3.5	2	3	1	10/2/2014	7, 6, 1	5.5	16190776	340000000
tt1239276	Colours of Passion	3.85715	2	5	1	11/7/2014	4, 2, 13	7.2	1259456	50000000
tt3678938	Humpty Sharma Ki Dulhania	3.75	2	5	2	7/11/2014	1, 2, 3	6	6925936	1020000000
tt2762334	Main Tera Hero	3.5	2	5	4	4/4/2014	7, 1, 3	5.3	5128073	710000000
tt297626	Entertainment	4.2	2	5	7	8/8/2014	7, 1	4.8	6589274	1100000000
tt2556308	Holiday	4.2	3.5	3	5	6/6/2014	7, 2, 17	7.5	96913	1760000000
tt339252	Daawat-e-Ishq	3	2	5	2	9/19/2014	1, 2, 3	6.2	4007142	403000000
tt3483712	Raja Natwarlal	3.5	2	5	3	8/29/2014	2, 8	6.1	4122759	295000000
tt2675978	Dedh Ishqiya	2	2	3	1	1/10/2014	1, 2, 3	7.3	2379716	270000000
tt0403935	Action Jackson	2	2.5	5	1	12/5/2014	7, 1, 2	3.3	13919307	750000000
tt2309764	Singham Returns	3.625	3	5	11	8/15/2014	7, 2	5.7	8532359	2155700000
tt3380264	Kill Dil	2	2	5	3	12/14/2014	7, 5, 2	4.5	343519	360000000
tt3142688	Finding Fanny	3.125	2	5	1	9/12/2014	1, 2, 3	5.9	6261479	580000000
tt2372678	2 States	2.5	2	5	3	4/18/2014	1, 2, 3	7.1	8944460	1500000000
tt3017412	Happy Ending	2	2.5	5	5	11/21/2014	1, 3	5.5	5350229	214900000
tt3036740	Humshakals	3.5	2	3	7	6/20/2014	1	1.8	1031569	637000000
