tt3531852	Bhoothnath Returns	4.5	3.5	155	2	4/11/2014	Comedy, Drama, Fantasy	6.9	3330035
tt3148502	Tamasha	4	4	139	6	11/27/2015	Comedy, Drama, Romance	7.2	13941249
tt4302956	Kis Kisko Pyaar Karu	2	2	133	1	9/25/2015	Comedy, Romance	6	5851719
tt4338154	Hawaizaada	2	2	148	2	1/30/2015	Biography, Drama, Fantasy	5.7	2488899
tt3398048	Tevar	3.875	2	157	4	1/9/2015	Action, Drama, Romance	4.1	6389609
tt1562872	Zindagi Na Milegi Dobara	3.875	4	155	5	7/15/2011	Adventure, Comedy, Drama	8.1	711760
tt2168910	Cocktail	3.125	2	146	3	7/12/2012	Comedy, Drama, Romance	6.2	5441363
tt2199711	Vishwaroopam	4	2	148	9	2/7/2013	Action, Adventure, Crime	8.7	725823
tt2275794	Gori Tere Pyaar Mein	3.625	2	150	3	11/22/2013	Comedy, Romance	5	3980610
tt2344678	Himmatwala	3.85715	2	150	6	3/29/2013	Action, Comedy	1.8	2582655
tt1833673	Dhoom:3	3.5	2	172	17	12/20/2013	Action, Crime, Thriller	5.5	21417255
tt2392447	Ungli	3.5	2.5	114	1	11/28/2014	Comedy, Drama, Thriller	5.8	2869333
tt3322420	Queen	3.8	2	146	1	2/27/2014	Adventure, Comedy, Drama	8.4	3272757
tt2978626	Entertainment	4.2	2	140	7	8/8/2014	Action, Comedy	4.8	6589274
tt3017412	Happy Ending	2	2.5	135	5	11/21/2014	Comedy, Romance	5.5	5350229
tt3742284	Nh10	2	2	115	1	3/13/2015	Action, Crime, Drama	7.2	6142773
tt4501576	Dirty Politics	3	2	130	7	3/6/2015	Drama	2.7	2466795
tt3619710	Bhaag Johnny	2.5	2	118	2	9/25/2015	Action, Thriller	5.1	3387973
tt2202086	Ab Tak Chhappan 2	2	2.5	105	1	2/27/2015	Action, Crime	5.8	711769
tt4110568	Dil Dhadakne Do	3.875	4	170	8	6/5/2015	Drama, Family, Romance	6.8	1972265
tt1618430	Dum Maaro Dum	3.5	2	128	3	11/6/2011	Action, Crime, Drama	6.2	47594
tt2178508	Son of Sardaar	3.66667	2	141	3	11/13/2012	Action, Comedy, Romance	4	3618432
tt2106537	Matru ki Bijlee ka Mandola	3	4	151	4	1/11/2013	Comedy, Drama	5.8	527395
tt2369154	R... Rajkumar	2	2.5	146	4	12/6/2013	Action, Comedy, Romance	5.1	6360883
tt2215477	Goliyon Ki Rasleela Ram-Leela	3.125	4	150	8	11/15/2013	Drama, Musical, Romance	6.3	10008845
tt1986040	Ishkq in Paris	3.5	2	95	1	5/24/2013	Comedy, Romance	4.2	671339
tt3501994	Hawaa Hawaai	3	2	120	1	5/9/2014	Drama, Family, Sport	7.5	103319
tt3173910	Hasee Toh Phasee	2.5	3	141	2	2/7/2014	Comedy, Romance	6.9	2639617
tt2556308	Holiday	4.2	3.5	170	5	6/6/2014	Action, Drama, Mystery	7.5	96913
tt3036740	Humshakals	3.5	2	159	7	6/20/2014	Comedy	1.8	1031569
tt3547616	All Is Well	3.5	3	126	2	8/21/2015	Comedy, Drama, Romance	3.9	4924478
tt4355892	Mumbai Can Dance Saalaa	2	2	135	3	1/2/2015	Drama	3.2	54791
tt2631186	Baahubali: The Beginning	4	4	159	25	7/10/2015	Action, Adventure, Drama	8.5	14098423
tt3679000	Any Body Can Dance 2	2.5	2.5	154	6	6/19/2015	Musical	5.6	614646
tt2976182	Roy	2.5	2	146	4	2/11/2015	Action, Drama, Romance	3.2	8033921
tt1754920	Yeh Saali Zindagi	4	2	130	0.5	2/4/2011	Crime, Drama, Thriller	7.5	8734
tt2172071	Student of the Year	3.5	3.5	146	5	5/19/2012	Comedy, Romance	5.5	5135829
tt2066062	Shortcut Romeo	2.5	2	146	1	4/4/113	Action, Crime, Romance	2.4	1198846
tt2615584	Phata Poster Nikhla Hero	2	3	146	4	9/20/2013	Action, Comedy	4.9	5396017
tt2224317	Lootera	2	2	136	2	7/5/2013	Drama, Romance	7.4	2659109
tt2112124	Chennai Express	4	3	141	11	8/9/2013	Action, Comedy, Romance	5.9	3041471
tt3514330	Youngistaan	3.66667	1	133	6	3/28/2014	Drama	5.3	105821
tt3554418	Khoobsurat	3	2	130	2	9/19/2014	Comedy, Romance	6.4	5738253
tt3398052	Daawat-e-Ishq	3	2	118	2	9/19/2014	Comedy, Drama, Romance	6.2	4007142
tt3390572	Haider	3.7	4	160	2	10/2/2014	Action, Crime, Drama	8.3	7334098
tt3483612	Hamari Adhuri Kahaani	3.5	3	129	3	6/12/2015	Drama	6.6	5023886
tt3595298	Prem Ratan Dhan Payo	3.16667	3	164	11	11/12/2015	Action, Drama, Musical	4.9	21839934
tt3948240	Second Hand Husband	3.5	3	105	1	7/3/2015	Comedy	4	1414276
tt2424988	Gabbar is Back	4.2	3.5	128	7	5/1/2015	Action, Crime, Drama	7.3	5657011
tt2979920	Bombay Velvet	2.5	4	149	12	5/15/2015	Crime, Drama, Thriller	5.8	6466027
tt1839596	Rockstar	2	4	159	6	66/66/2066	Music, Musical	7.6	46569
tt2438764	Rajjo	2	2	135	1	1/15/2013	Drama, Romance	3.8	1758407
tt2229848	Chashme Baddoor	2	2	121	2	4/5/2013	Comedy, Drama	5.4	1742445
tt2359810	Raanjhanaa	3.75	3.5	140	3	6/21/2013	Drama, Romance	7.6	5711718
