tt1986040	Ishkq in Paris	3.5	2	95	1	671339	3	4.2
tt3501994	Hawaa Hawaai	3	2	120	1	103319	17	7.5
tt3173910	Hasee Toh Phasee	2.5	3	141	2	2639617	3	6.9
tt2556308	Holiday	4.2	3.5	170	5	96913	12	7.5
tt3036740	Humshakals	3.5	2	159	7	1031569	1	1.8
tt3547616	All Is Well	3.5	3	126	2	4924478	3	3.9
tt4355892	Mumbai Can Dance Saalaa	2	2	135	3	54791	2	3.2
tt2631186	Baahubali: The Beginning	4	4	159	25	14098423	7	8.5
tt3679000	Any Body Can Dance 2	2.5	2.5	154	6	614646	9	5.6
tt2976182	Roy	2.5	2	146	4	8033921	7	3.2
tt1754920	Yeh Saali Zindagi	4	2	130	0.5	8734	8	7.5
tt2172071	Student of the Year	3.5	3.5	146	5	5135829	3	5.5
tt2066062	Shortcut Romeo	2.5	2	146	1	1198846	7	2.4
tt2615584	Phata Poster Nikhla Hero	2	3	146	4	5396017	7	4.9
tt2224317	Lootera	2	2	136	2	2659109	3	7.4
tt2112124	Chennai Express	4	3	141	11	3041471	7	5.9
tt3514330	Youngistaan	3.66667	1	133	6	105821	2	5.3
tt3554418	Khoobsurat	3	2	130	2	5738253	3	6.4
tt3398052	Daawat-e-Ishq	3	2	118	2	4007142	3	6.2
tt3390572	Haider	3.7	4	160	2	7334098	7	8.3
tt3483612	Hamari Adhuri Kahaani	3.5	3	129	3	5023886	2	6.6
tt3595298	Prem Ratan Dhan Payo	3.16667	3	164	11	21839934	9	4.9
tt3948240	Second Hand Husband	3.5	3	105	1	1414276	1	4
tt2424988	Gabbar is Back	4.2	3.5	128	7	5657011	7	7.3
tt2979920	Bombay Velvet	2.5	4	149	12	6466027	8	5.8
tt1839596	Rockstar	2	4	159	6	46569	9	7.6
tt2438764	Rajjo	2	2	135	1	1758407	3	3.8
tt2229848	Chashme Baddoor	2	2	121	2	1742445	2	5.4
tt2359810	Raanjhanaa	3.75	3.5	140	3	5711718	3	7.6
tt2804026	Aurangzeb	2	2	137	2	1988860	8	6.6
tt3415692	Mahabharat	4.5	2.5	105	5	137494	14	5.6
tt3303416	Ya Rab	2	2	120	2	329185	2	6.4
tt3175038	Ek Villain	3.5	3	129	3	4970375	7	6.4
tt3483712	Raja Natwarlal	3.5	2	141	3	4122759	8	6.1
tt3645014	The Xpose	4	2	113	1	326364	8	3.3
tt4500734	Ek Paheli Leela	3	2	145	1	17760865	12	3.8
tt4024944	Main Aur Charles	3.5	2	123	6	2324588	15	6.3
tt3742284	Nh10	2	2	115	1	6142773	7	7.2
tt3802576	Brothers	4.2	2	156	8	11696857	17	6.8
tt3863552	Bajrangi Bhaijaan	4.1	3.5	163	9	7237605	7	8.1
tt1729637	Bodyguard	3.625	6	130	6	6443051	7	4.5
tt3059106	Satya 2	2	2.5	142	1	44278	5	5.9
tt2988272	Shuddh Desi Romance	3.5	3.5	141	2	3820970	3	5.8
tt2246724	Ghanchakkar	3.5	2	137	3	2316885	8	5.7
tt2301155	Shootout at Wadala	3.667	3	155	4	939709	7	5.8
tt2275802	Satyagraha	4.5	3.5	152	5	1462786	2	6
tt3001638	Mary Kom	3.875	2	122	1	6314572	17	6.8
tt3495000	Mardaani	2.5	2	113	1	4563876	8	7.4
tt2675978	Dedh Ishqiya	2	2	152	1	2379716	3	7.3
tt2574698	Gunday	4	2	152	5	2614814	7	2
tt4271730	Alone	2.66667	2	133	1	9520032	4	3.7
tt4354740	Dharam Sankat Mein	3.875	2	129	1	1455518	1	6.2
tt4332114	Dolly Ki Doli	3.75	2	98	2	2680347	3	4.6
tt3848892	Baby	4.2	4.5	159	5	8444760	8	8.2
tt3767372	Piku	4.5	4.5	123	4	6325192	2	7.6
tt1562871	Ra.One	3.5	2.5	156	13	1720576	10	4.8
tt2796318	Mickey Virus	2	2	135	1	211144	8	6.1
tt2213054	Kai po che!	3.5	2	120	3	50121	17	7.7
tt2406676	Ek Thi Daayan	3.5	2	127	2	1930238	8	5.7
tt2551378	Bullett Raja	2	3.5	138	5	255311	7	5.1
tt1029231	Krrish 3	4.5	3.5	152	9	24606605	10	5.4
tt3359290	Bobby Jasoos	3	2	121	1	3166047	8	5.5
tt2980794	Highway	2.5	4	133	3	3246950	6	7.6
tt0403935	Action Jackson	2	2.5	144	1	13919307	7	3.3
tt2338151	PK	3.66667	4.5	153	8	14895545	3	8.3
tt3159708	Welcome Back	3.66667	2.5	152	8	8129696	7	4.2
tt4007558	Shaandaar	2	2	144	13	12527774	3	3.6
tt3422462	Bangistan	3.5	2	135	2	2749407	1	4.5
tt4684028	Guddu Rangeela	2.75	2	124	1	1974110	2	5.3
tt3836958	Shamitabh	4.5	3.5	155	2	3987783	8	6.9
