Kay Kay Menon	2.0
Himesh Reshammiya	3.33333
Zoya Afroz	2.0
Jacqueline Fernandez	2.0
Tabu	3.7
Sunil Shetty	2.0
Genelia D'Souza	2.0
Anurag Kashyap	3.0
Anushka Sharma	2.0
Jayshree Soni	2.0
Asin Thottumkal	2.0
Neha Bhasin	2.0
Tahir Raj Bhasin	2.0
Suhasini Mulay	2.0
Bhavika Bhasin	2.0
Sunny Leone	3.0
Rahul Dev	2.0
Mohit Ahlawat	2.0
Bipasha Basu	2.66667
Karan Singh Grover	2.0
Zakir Hussain	2.0
Nana Patekar	2.0
Kajol	2.0
Zarine Khan	2.0
Daisy Shah	2.0
Ranbir Kapoor	2.0
Piyush Mishra	3.875
Javed Sheikh	4.0
Anupam Kher	2.9375
Atul Kulkarni	2.0
Shakti Kapoor	2.0
Prashant Narayanan	2.0
Aditya Pancholi	2.0
Rakhi Sawant	2.0
Neil Nitin Mukesh	2.5
Tisca Chopra	3.25
Sanjay Kapoor	2.0
Aishwarya Rai Bachchan	3.5
Shabana Azmi	2.0
Sunny Leone	3.0
Amy Jackson	2.0
Lara Dutta	2.0
Akanksha Puri	2.0
Avani Modi	2.0
Kyra Dutt	2.0
Ruhi Singh	2.0
Kapil Sharma	2.0
Simran Kaur Mundi	2.0
Sai Lokur	2.0
Kunal Khemu	2.0
Zoa Morani	2.0
Mandana Karimi	2.0
Prabhas	2.0
Anushka Shetty	2.0
Dharmendra	2.0
Vijay Raaz	2.0
Gippy Grewal	2.0
Malaika Arora Khan	2.0
Jacqueline Fernandez	2.0
Pulkit Samrat	2.0
Ram Kapoor	2.0
Evelyn Sharma	2.0
Anand Tiwari	2.0
Divya Menon	2.0
Swastika Mukherjee	2.0
Mithun Chakraborty	2.0
Krutika Deo	2.0
Vikram Gokhale	2.0
Shraddha Kapoor	2.0
Sunil Grover	2.0
