Ayan Mukherjee (story and screenplay)	6.9
Vijay Krishna Acharya	5.5
Aditya Chopra	5.5
Vijay Krishna Acharya	5.5
Prem Soni	4.2
Preity Zinta	4.2
K. Subhash	5.9
Yunus Sajawal	5.9
Robin Bhatt	5.9
Farhad (dialogue)	5.9
Sajid (dialogue)	5.9
Amaan Khan	5.6
Amjad Sheikh (dialogue)	5.6
Ram Goutam	6.0
Prakash Jha	6.0
Anjum Rajabali	6.0
Rakesh Roshan	5.4
Robin Bhatt	5.4
Honey Irani	5.4
Irfan Kamal	5.4
Akarsh Khurana	5.4
Rakesh Roshan	5.4
Sanjay Masoom (dialogue)	5.4
David Benullo	5.4
N/A	N/A
Hussain Zaidi	5.6
Kabir Khan	5.6
Parveez Sheikh	5.6
Kabir Khan (dialogue)	5.6
Kausar Munir (dialogue)	5.6
Shailesh Verma	5.5
Vivek Agnihotri	4.4
Rohit Malhotra	4.4
Renzil D'Silva	5.8
Milap Zaveri (dialogue)	5.8
Amole Gupte	7.5
Ramiz Ilham Khan (story	5.3
 screenplay & dialogue)	5.3
Syed Ahmad Afzal (story	5.3
 screenplay & dialogue)	5.3
Maitrey Bajpai (story	5.3
 screenplay & dialogue)	5.3
N/A	6.4
Saiwyn Quadras (story and screenplay)	6.8
Ramendra Vasishth (dialogue)	6.8
Karan Singh Rathore (dialogue)	6.8
Sanyukta Shaikh Chawla (screen play & dialogue by)	5.5
N/A	2.7
Sanjeev Dutta	5.6
Harry Baweja	8.7
Madhuri Banerjee	4.5
Girish Dhamija (dialogue)	4.5
Vikas Bahl (story and screenplay)	8.4
Chaitally Parmar (story and screenplay)	8.4
Parveez Sheikh (story and screenplay)	8.4
Anvita Dutt (dialogue)	8.4
Kangana Ranaut (dialogue)	8.4
Harshavardhan Kulkarni (story and screenplay)	6.9
Anurag Kashyap (dialogue)	6.9
Harshavardhan Kulkarni (dialogue)	6.9
Purva Naresh (dialogue)	6.9
Vinil Matthew (dialogue)	6.9
D.N. Mukherjee (original story)	6.4
Indira Bisht	6.4
Juhi Chaturvedi (dialogue)	6.4
Tushar Hiranandani	6.4
Milap Zaveri (dialogue)	6.4
Gopi Puthran	7.4
Vibha Singh	7.4
Imtiaz Ali	7.6
Sujoy Ghosh	5.5
Suresh Nair	5.5
Patrick O'Neill (original story)	5.5
Abbas Tyrewala (dialogue)	5.5
Sanjeev Dutta	7.2
Ketan Mehta	7.2
Ketan Mehta	7.2
Shashank Khaitan	6.0
Tushar Hiranandani (story and screenplay)	5.3
Milap Zaveri (dialogue)	5.3
Farhad	4.8
Sajid	4.8
K. Subhash	4.8
A.R. Murugadoss	7.5
Habib Faisal	6.2
Jyoti Kapoor	6.2
Habib Faisal	6.2
Parveez Sheikh (story and screenplay)	6.1
Sanjay Masoom (dialogue)	6.1
Vishal Bhardwaj (dialogue)	7.3
Vishal Bhardwaj	7.3
Abhishek Chaubey	7.3
Darab Farooqui	7.3
A.C. Mughil	3.3
Prabhudheva	3.3
Shiraz Ahmed (dialogue)	3.3
Rohit Shetty	5.7
Yunus Sajawal	5.7
Farhad (dialogue)	5.7
Sajid (dialogue)	5.7
Nitesh Tiwari	4.5
Shreyas Jain	4.5
Nikhil Mehrotra	4.5
Homi Adajania	5.9
Kersi Khambatta	5.9
Chetan Bhagat	7.1
Abhishek Varman	7.1
Hussain Dalal (dialogue)	7.1
Raj Nidimoru	5.5
Krishna D.K.	5.5
Sita Menon	5.5
Raj Nidimoru	5.5
Krishna D.K.	5.5
Sita Menon	5.5
Hussain Dalal (dialogue)	5.5
Sajid Khan (story and dialogue)	1.8
Robin Bhatt	1.8
Sajid Khan	1.8
Akarsh Khurana	1.8
Adhir Bhat (additional dialogue)	1.8
William Shakespeare (based on the play "Hamlet" by)	8.3
Basharat Peer	8.3
Vishal Bhardwaj	8.3
Vishal Bhardwaj (dialogue)	8.3
Himesh Reshammiya	3.3
Jainesh Ejardar	3.3
Himesh Reshammiya	3.3
Bunty Rathore (dialogue)	3.3
Ali Abbas Zafar	2.0
Sanjay Masoom (additional dialogue)	2.0
Rajkumar Hirani	8.3
Abhijat Joshi	8.3
Vakkantham Vamsi	5.5
