tt2275794	Gori Tere Pyaar Mein	3.625	2	150	3	11/22/2013	1,3	5	6500
tt2344678	Himmatwala	3.85715	2	150	6	3/29/2013	7,1	1.8	0
tt1833673	Dhoom:3	3.5	2	172	17	12/20/2013	7,5,8	5.5	51115
tt2392447	Ungli	3.5	2.5	114	1	11/28/2014	1,2,8	5.8	6493
tt3322420	Queen	3.8	2	146	1	2/27/2014	6,1,2	8.4	5626
tt2978626	Entertainment	4.2	2	140	7	8/8/2014	7,1	4.8	17965
tt3017412	Happy Ending	2	2.5	135	5	11/21/2014	1,3	5.5	5912
tt3742284	Nh10	2	2	115	1	3/13/2015	7,5,2	7.2	14390
tt4501576	Dirty Politics	3	2	130	7	3/6/2015	2	2.7	1254
tt3619710	Bhaag Johnny	2.5	2	118	2	9/25/2015	7,8	5.1	4203
tt2202086	Ab Tak Chhappan 2	2	2.5	105	1	2/27/2015	7,5	5.8	236
tt4110568	Dil Dhadakne Do	3.875	4	170	8	6/5/2015	2,16,3	6.8	5025
tt1618430	Dum Maaro Dum	3.5	2	128	3	11/6/2011	7,5,2	6.2	100
tt2178508	Son of Sardaar	3.66667	2	141	3	11/13/2012	7,1,3	4	5243
tt2106537	Matru ki Bijlee ka Mandola	3	4	151	4	1/11/2013	1,2	5.8	140
tt2369154	R... Rajkumar	2	2.5	146	4	12/6/2013	7,1,3	5.1	57421
tt2215477	Goliyon Ki Rasleela Ram-Leela	3.125	4	150	8	11/15/2013	2,9,3	6.3	18209
tt1986040	Ishkq in Paris	3.5	2	95	1	5/24/2013	1,3	4.2	412
tt3501994	Hawaa Hawaai	3	2	120	1	5/9/2014	17,16,2	7.5	404
tt3173910	Hasee Toh Phasee	2.5	3	141	2	2/7/2014	1,3	6.9	5570
tt2556308	Holiday	4.2	3.5	170	5	6/6/2014	7,2,12	7.5	12211
tt3036740	Humshakals	3.5	2	159	7	6/20/2014	1	1.8	0
tt3547616	All Is Well	3.5	3	126	2	8/21/2015	1,2,3	3.9	13182
tt4355892	Mumbai Can Dance Saalaa	2	2	135	3	1/2/2015	2	3.2	0
tt2631186	Baahubali: The Beginning	4	4	159	25	7/10/2015	7,6,2	8.5	33167
tt3679000	Any Body Can Dance 2	2.5	2.5	154	6	6/19/2015	9	5.6	35262
tt2976182	Roy	2.5	2	146	4	2/11/2015	7,2,3	3.2	15899
tt1754920	Yeh Saali Zindagi	4	2	130	0.5	2/4/2011	5,2,8	7.5	90
tt2172071	Student of the Year	3.5	3.5	146	5	5/19/2012	1,3	5.5	4508
tt2066062	Shortcut Romeo	2.5	2	146	1	4/4/113	7,5,3	2.4	718
tt2615584	Phata Poster Nikhla Hero	2	3	146	4	9/20/2013	7,1	4.9	9570
tt2224317	Lootera	2	2	136	2	7/5/2013	2,3	7.4	3768
tt2112124	Chennai Express	4	3	141	11	8/9/2013	7,1,3	5.9	7988
tt3514330	Youngistaan	3.66667	1	133	6	3/28/2014	2	5.3	110
tt3554418	Khoobsurat	3	2	130	2	9/19/2014	1,3	6.4	10973
tt3398052	Daawat-e-Ishq	3	2	118	2	9/19/2014	1,2,3	6.2	7084
tt3390572	Haider	3.7	4	160	2	10/2/2014	7,5,2	8.3	21465
tt3483612	Hamari Adhuri Kahaani	3.5	3	129	3	6/12/2015	2	6.6	22212
tt3595298	Prem Ratan Dhan Payo	3.16667	3	164	11	11/12/2015	7,2,9	4.9	57298
tt3948240	Second Hand Husband	3.5	3	105	1	7/3/2015	1	4	2198
tt2424988	Gabbar is Back	4.2	3.5	128	7	5/1/2015	7,5,2	7.3	22868
tt2979920	Bombay Velvet	2.5	4	149	12	5/15/2015	5,2,8	5.8	9673
tt1839596	Rockstar	2	4	159	6	66/66/2066	9,9	7.6	3000
tt2438764	Rajjo	2	2	135	1	1/15/2013	2,3	3.8	537
tt2229848	Chashme Baddoor	2	2	121	2	4/5/2013	1,2	5.4	2758
tt2359810	Raanjhanaa	3.75	3.5	140	3	6/21/2013	2,3	7.6	11956
tt2804026	Aurangzeb	2	2	137	2	5/17/2013	7,2,8	6.6	2740
tt3415692	Mahabharat	4.5	2.5	105	5	12/25/2013	14,7	5.6	213
tt3303416	Ya Rab	2	2	120	2	2/7/2014	2	6.4	677
tt3175038	Ek Villain	3.5	3	129	3	6/27/2014	7,5,2	6.4	13655
tt3483712	Raja Natwarlal	3.5	2	141	3	8/29/2014	2,8	6.1	7074
tt3645014	The Xpose	4	2	113	1	5/16/2014	8	3.3	528
tt4500734	Ek Paheli Leela	3	2	145	1	4/10/2015	12,3,8	3.8	18049
tt4024944	Main Aur Charles	3.5	2	123	6	10/30/2015	7,15,5	6.3	4633
tt3742284	Nh10	2	2	115	1	3/13/2015	7,5,2	7.2	14390
tt3802576	Brothers	4.2	2	156	8	8/14/2015	7,2,17	6.8	56461
tt3863552	Bajrangi Bhaijaan	4.1	3.5	163	9	7/17/2015	7,1,2	8.1	36200
tt1729637	Bodyguard	3.625	6	130	6	8/31/6011	7,3	4.5	2000
tt3059106	Satya 2	2	2.5	142	1	11/8/2013	5	5.9	17
tt2988272	Shuddh Desi Romance	3.5	3.5	141	2	9/13/2013	1,2,3	5.8	4673
